 starttime, runningtime, spdavg, hravg, manualdist,,
114,0,0,0,0,0,0
114,0,0,0,0,0,0
114,0,0,0,0,0,0
113,0,0,0,0,0,0
112,0,0,0,0,0,0
112,0,0,0,0,0,0
112,0,0,0,0,0,0
112,0,0,0,0,0,0
112,0,0,0,0,0,0
112,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
111,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
110,0,0,0,0,0,0
155,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
147,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
150,0,0,0,0,0,0
149,0,0,0,0,0,0
149,0,0,0,0,0,0
149,0,0,0,0,0,0
149,0,0,0,0,0,0
148,0,0,0,0,0,0
147,0,0,0,0,0,0
145,0,0,0,0,0,0
144,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
144,0,0,0,0,0,0
143,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
143,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
141,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
141,0,0,0,0,0,0
140,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
139,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
138,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
137,0,0,0,0,0,0
136,0,0,0,0,0,0
136,0,0,0,0,0,0
136,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
138,0,0,0,0,0,0
143,0,0,0,0,0,0
145,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
152,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
153,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
159,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
159,0,0,0,0,0,0
159,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
158,0,0,0,0,0,0
157,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
157,0,0,0,0,0,0
157,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
155,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
156,0,0,0,0,0,0
155,0,0,0,0,0,0
155,0,0,0,0,0,0
153,0,0,0,0,0,0
152,0,0,0,0,0,0
152,0,0,0,0,0,0
152,0,0,0,0,0,0
151,0,0,0,0,0,0
150,0,0,0,0,0,0
149,0,0,0,0,0,0
147,0,0,0,0,0,0
144,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
140,0,0,0,0,0,0
139,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
145,0,0,0,0,0,0
145,0,0,0,0,0,0
145,0,0,0,0,0,0
